,movie,release,director_and_stars
0,Dummy,(1977 TV Movie),"Director: Franc Roddam | Stars: Geraldine James, Lara Crooks, Sean Glenn, Manda Naylor"
1,Early Wedding,(2022 TV Movie),"Directors: Tamás Olt, Csaba Vékes | Stars: Dániel Benedek, Csaba Fándly, Róbert Koltai, Liza Kotay"
2,Cuvaj se senjske ruke,(1964 TV Movie),"Director: Daniel Marusic | Stars: Bozena Kraljeva, Antun Vrdoljak, Jozo Martincevic, Kresimir Zidaric"
3,Martha and Friends,(2011 TV Movie),"Director: Kristi Reed | Stars: Anna Paredes, Sean-Ryan Petersen, Allie Shea"
4,Scout,(2016 TV Movie),"Director: Tom A Francis | Stars: Tony Nixon, Paul Adams, Jane Elizabeth Barry, Jared Beacon"
5,Crooked Juction,(2006 TV Movie),"Director: Zach Stampone | Stars: Steven Blincoe, Christopher See, David Sherrod, Corey Snowden"
6,Facing Trauma,(2011 TV Movie),"Directors: Paul Reitano, Terrence Sacchi | Stars: Andrew Jacono, Neal Kodinsky, Bettina Mangiaracina, Gerard Adimando"
7,Over Here,(2008 TV Movie),"Directors: Derek Shane Garcia, Rebecca Kaplan, Zachary Lennon-Simon, Isaac Shrem, Mélinda Tenenzapf | Stars: Peter Cardella, Beatrice Kreloff, John Ruffins, Katherine Ruffins"
8,Night Writer,(2008 TV Movie),"Stars: Lee Barron, Christopher David, Brett Gilbert, Diana Hart"
9,A Town Like Lackawanna,(2007 TV Movie),Director: Tina Gharavi
10,"Kolbe, azione sacra in due parti",(1995 TV Movie),"Directors: Max Leonida, Fulvio Ricciardi | Stars: Max Leonida, Sarah Masini, Piergiorgio Pardo, Miriam Biasoli"
11,Illusionen,(1957 TV Movie),"Director: Kurt Wilhelm | Stars: Tilla Durieux, Joachim Fuchsberger, Peter Weck, Ellinor Jensen"
12,Show hin - Schau her,(1964 TV Movie),"Director: Harald Vock | Stars: Gus Backus, Ralf Bendix, Jochen Brauer, Inge Brück"
13,The President,(2009 TV Movie),Director: Goran Trenchovski | Star: Boris Trajkovski
14,Crumbles letzte Chance,(1967 TV Movie),"Director: Erik Ode | Stars: Rudolf Platte, Hilde Volk, Dieter Henkel, Gert Günther Hoffmann"
15,Die gute Sieben,(1959 TV Movie),"Director: Peter Hamel | Stars: Karl John, Alice Treff, Raidar Müller-Elmau, Trude Marlen"
16,Gideon,(1966 TV Movie),"Director: Wilhelm Semmelroth | Stars: Max Eckard, Florent Antony, Helmut Peine, Konrad Mayerhoff"
17,Der Ruepp,(1965 TV Movie),"Director: Franz Peter Wirth | Stars: Alexander Golling, Ludwig Schmid-Wildy, Willy Schultes, Manfred Günther"
18,Magic Castle After Dark,(2006 TV Movie),"Director: Jude Gerard Prest | Stars: Ivan Amodei, Jon Armstrong, Joycee Beck, Eric Buss"
19,"Das Vergnügen, anständig zu sein",(1962 TV Movie),"Director: William Dieterle | Stars: Lothar Blumhagen, Uta Sax, Friedel Schuster, Harald Leipnitz"
20,Der erste Ball,(1955 TV Movie),"Director: Fritz Umgelter | Stars: Peter Alexander, Valerie Bak, Albert Florath, Käthe Haack"
21,Endgame MMI,(2002 TV Movie),"Director: Goran Trenchovski | Stars: Aleksandra Boskovska, Samoil Stojanovski, Petar Temelkovski, Robert Veljanovski"
22,Der Weg ist dunkel,(1961 TV Movie),"Director: Ludwig Cremer | Stars: Robert Graf, Margot Trooger, Hans Quest, Kurt Meisel"
23,Der Blinde,(1967 TV Movie),"Director: Leopold Lahola | Stars: Paul Neuhaus, Gaby Dohm, Horst Naumann, Günther Neutze"
24,Autobiografija utopljenice,(1964 TV Movie),"Director: Ivan Hetrich | Stars: Ljuba Tadic, Tatjana Beljakova, Vanja Drach, Relja Basic"
25,Das Gold von Bayern,(1967 TV Movie),"Director: Bruno Hübner | Stars: Fritz Straßner, Friedrich Maurer, Eva Vaitl, Walter Kohut"
26,Die reinsten Engel,(1964 TV Movie),"Director: Walter Rilla | Stars: Antje Weisgerber, Edith Schultze-Westrum, Gisela Hoeter, Werner Nippen"
27,Tote ohne Begräbnis,(1964 TV Movie),"Director: Rainer Wolffhardt | Stars: Gerd Baltus, Werner Schumacher, Max Mairich, Günther Neutze"
28,Die Marquise von Arcis,(1961 TV Movie),"Director: Falk Harnack | Stars: Brigitte Mira, Uta Sax, Alexander Kerst, Hilde Krahl"
29,Macedonian Emigration,(2001 TV Movie),"Director: Goran Trenchovski | Stars: Elica Areva, Lazar Atanasov, Kire Barbareev, Metodi Basarovski"
30,Der Kaktusgarten,(1967 TV Movie),"Director: Wilm ten Haaf | Stars: Elisabeth Goebel, Hans Cossy, Katinka Hoffmann, Hilde Krahl"
31,Florence und der Zahnarzt,(1962 TV Movie),"Director: Rüdiger Graf | Stars: Hellmut Lange, Ina Peters, Erna Sellmer, Gernot Duda"
32,Die erste Legion,(1964 TV Movie),"Director: Harry Buckwitz | Stars: Sigfrit Steiner, Frank Rehfeldt, Wolfgang Völz, Wolfgang Büttner"
33,Die Letzten,(1967 TV Movie),"Director: Oswald Döpke | Stars: Wolfgang Engels, Carl Lange, Alice Treff, Hartmut Reck"
34,Die Troerinnen des Euripides,(1959 TV Movie),"Director: Paul Verhoeven | Stars: Peter Arens, Margot Trooger, Hermine Körner, Max Eckard"
35,Arturo Benedetti Michelangeli,(1981 TV Movie),Director: János Darvas | Star: Arturo Benedetti Michelangeli
36,Der öffentliche Ankläger,(1958 TV Movie),"Director: Kurt Wilhelm | Stars: Lola Müthel, Horst Tappert, Karl Maria Schley, Herbert Kroll"
37,"Empty Oceans, Empty Nets",(2002 TV Movie),Director: Steve Cowan | Star: Peter Coyote
38,Of und der Mond,(1956 TV Movie),"Director: Wolfgang Spier | Stars: Harry Wüstenhagen, Brigitte Ratz, Heinz Giese, Käthe Haack"
39,Nachtfahrt,(1965 TV Movie),"Director: Fritz Umgelter | Stars: Ruth-Maria Kubitschek, Arthur Brauss, Helmut Peine, Christine Oesterlein"
40,Die Feuertreppe,(1962 TV Movie),"Director: Ludwig Cremer | Stars: Benno Sterzenbach, Ulla Best, Konrad Georg, Gisela Hoeter"
41,Große Schmährede an der Stadtmauer,(1963 TV Movie),"Director: Gerhard Klingenberg | Stars: Ida Krottendorf, Kurt Conradi, Harry Wüstenhagen, Helmut Peine"
42,Der Fluggast,(1964 TV Movie),"Director: Werner Schlechte | Stars: Tom Krinzinger, Walter Bluhm, Heinz Hambitzer, Karin Mai"
43,Stück für Stück,(1962 TV Movie),"Director: Peter Lilienthal | Stars: Jens-Peter Erichsen, Eva Brumby, Herbert Stass, Max Haufler"
44,Die 10 war ihr Schicksal,(1955 TV Movie),"Director: Hans Scholz | Stars: Wolfgang Gruner, Jo Herbst, Günter Pfitzmann, Achim Strietzel"
45,Platons Gastmahl,(1965 TV Movie),"Director: Walter Rilla | Stars: Heinz Moog, Peter Schütte, Rudolf Rhomberg, Karl Paryla"
46,Slavic Orpheus,(1992 TV Movie),"Directors: Aco Aleksov, Goran Trenchovski | Stars: Trajce Gorgiev, Vlado Jovanovski, Kiril Zdraveski, Marija Gurceva"
47,Verkündigung,(1963 TV Movie),"Director: Oswald Döpke | Stars: Heinz Klevenow, Lina Carstens, Maria Emo, Claudia Wedekind"
48,Kinder des Schattens,(1968 TV Movie),"Director: Günter Gräwert | Stars: Fred Schroer, Doris Kunstmann, Michael Ande, Giulia Follina"
49,Michas Weg nach Bethlehem,(1960 TV Movie),"Director: Udo Langhoff | Stars: Katharina Matz, Heinz Kühsel, Volker Brandt, Robert Owens"
